filename; ATTRIBUTE_strain; ATTRIBUTE_solvent;ATTRIBUTE_Bacteria
R425-3-Me.mzXML;R425;Me;S.arenicola
R510-3-Bu.mzXML;R510;Bu;S.pacifica
R510-3-EA.mzXML;R510;EA;S.pacifica
R510-3-Me.mzXML;R510;Me;S.pacifica
R699-3-Bu.mzXML;R699;Bu;S.tropica
R699-3-EA.mzXML;R699;EA;S.tropica
R699-3-Me.mzXML;R699;Me;S.tropica
R894-3-Bu.mzXML;R894;Bu;S.pacifica
R894-3-EA.mzXML;R894;EA;S.pacifica
R894-3-Me.mzXML;R894;Me;S.pacifica
R909-3-Bu.mzXML;R909;Bu;S.pacifica
R909-3-EA.mzXML;R909;EA;S.pacifica
R909-3-Me.mzXML;R909;Me;S.pacifica
R921-3-Bu.mzXML;R921;Bu;S.arenicola
R921-3-EA.mzXML;R921;EA;S.arenicola
R921-3-Me.mzXML;R921;Me;S.arenicola
R942-3-Bu.mzXML;R942;Bu;S.pacifica
R942-3-EA.mzXML;R942;EA;S.pacifica
R942-3-Me.mzXML;R942;Me;S.pacifica
S051-3-Bu.mzXML;S051;Bu;S.arenicola
S051-3-EA.mzXML;S051;EA;S.arenicola
S051-3-Me.mzXML;S051;Me;S.arenicola
S055-3-Bu.mzXML;S055;Bu;S.pacifica
S055-3-EA.mzXML;S055;EA;S.pacifica
S055-3-Me.mzXML;S055;Me;S.pacifica
S103-3-Bu.mzXML;S103;Bu;S.pacifica
S103-3-EA.mzXML;S103;EA;S.pacifica
S103-3-Me.mzXML;S103;Me;S.pacifica
S143-3-Bu.mzXML;S143;Bu;S.pacifica
S143-3-EA.mzXML;S143;EA;S.pacifica
S143-3-Me.mzXML;S143;Me;S.pacifica
S197-3-Bu.mzXML;S197;Bu;S.tropica
S197-3-EA.mzXML;S197;EA;S.tropica
S197-3-Me.mzXML;S197;Me;S.tropica
S205-3-Bu.mzXML;S205;Bu;S.arenicola
S205-3-EA.mzXML;S205;EA;S.arenicola
S205-3-Me.mzXML;S205;Me;S.arenicola
S237-3-Bu.mzXML;S237;Bu;S.pacifica
S237-3-EA.mzXML;S237;EA;S.pacifica
S237-3-Me.mzXML;S237;Me;S.pacifica
S243-3-Bu.mzXML;S243;Bu;S.arenicola
S243-3-EA.mzXML;S243;EA;S.arenicola
S243-3-Me.mzXML;S243;Me;S.arenicola
S296-3-Bu.mzXML;S296;Bu;S.arenicola
S296-3-EA.mzXML;S296;EA;S.arenicola
S296-3-Me.mzXML;S296;Me;S.arenicola
S299-3-Bu.mzXML;S299;Bu;S.arenicola
S299-3-EA.mzXML;S299;EA;S.arenicola
S299-3-Me.mzXML;S299;Me;S.arenicola
S325-3-Bu.mzXML;S325;Bu;S.arenicola
S325-3-EA.mzXML;S325;EA;S.arenicola
S325-3-Me.mzXML;S325;Me;S.arenicola
S342-3-Bu.mzXML;S342;Bu;S.arenicola
S342-3-EA.mzXML;S342;EA;S.arenicola
S342-3-Me.mzXML;S342;Me;S.arenicola
S416-3-Bu.mzXML;S416;Bu;S.tropica
S416-3-EA.mzXML;S416;EA;S.tropica
S416-3-Me.mzXML;S416;Me;S.tropica
S673-3-Bu.mzXML;S673;Bu;S.arenicola
S673-3-EA.mzXML;S673;EA;S.arenicola
S673-3-Me.mzXML;S673;Me;S.arenicola
S744-3-Bu.mzXML;S744;Bu;S.arenicola
S744-3-EA.mzXML;S744;EA;S.arenicola
S744-3-Me.mzXML;S744;Me;S.arenicola
S801-3-Bu.mzXML;S801;Bu;S.pacifica
S801-3-EA.mzXML;S801;EA;S.pacifica
S801-3-Me.mzXML;S801;Me;S.pacifica
S820-3-Bu.mzXML;S820;Bu;S.arenicola
S820-3-EA.mzXML;S820;EA;S.arenicola
S820-3-Me.mzXML;S820;Me;S.arenicola
S848-3-Bu.mzXML;S848;Bu;S.arenicola
S848-3-EA.mzXML;S848;EA;S.arenicola
S848-3-Me.mzXML;S848;Me;S.arenicola
S860-3-Bu.mzXML;S860;Bu;S.pacifica
S860-3-EA.mzXML;S860;EA;S.pacifica
S860-3-Me.mzXML;S860;Me;S.pacifica
S863-3-Bu.mzXML;S863;Bu;S.pacifica
S863-3-EA.mzXML;S863;EA;S.pacifica
S863-3-Me.mzXML;S863;Me;S.pacifica
S960-3-Bu.mzXML;S960;Bu;S.pacifica
S960-3-EA.mzXML;S960;EA;S.pacifica
S960-3-Me.mzXML;S960;Me;S.pacifica
S991-3-Bu.mzXML;S991;Bu;S.arenicola
S991-3-EA.mzXML;S991;EA;S.arenicola
S991-3-Me.mzXML;S991;Me;S.arenicola
S996-3-Bu.mzXML;S996;Bu;S.pacifica
S996-3-EA.mzXML;S996;EA;S.pacifica
S996-3-Me.mzXML;S996;Me;S.pacifica
T001-3-Bu.mzXML;T001;Bu;S.pacifica
T001-3-EA.mzXML;T001;EA;S.pacifica
T001-3-Me.mzXML;T001;Me;S.pacifica
T003-3-Bu.mzXML;T003;Bu;S.pacifica
T003-3-EA.mzXML;T003;EA;S.pacifica
T003-3-Me.mzXML;T003;Me;S.pacifica
T005-3-Bu.mzXML;T005;Bu;S.arenicola
T005-3-EA.mzXML;T005;EA;S.arenicola
T005-3-Me.mzXML;T005;Me;S.arenicola
T029-3-Bu.mzXML;T029;Bu;S.pacifica
T029-3-EA.mzXML;T029;EA;S.pacifica
T029-3-Me.mzXML;T029;Me;S.pacifica
T045-3-Bu.mzXML;T045;Bu;S.pacifica
T045-3-EA.mzXML;T045;EA;S.pacifica
T045-3-Me.mzXML;T045;Me;S.pacifica
T084-3-Bu.mzXML;T084;Bu;S.pacifica
T084-3-EA.mzXML;T084;EA;S.pacifica
T084-3-Me.mzXML;T084;Me;S.pacifica
T088-3-Bu.mzXML;T088;Bu;S.arenicola
T088-3-EA.mzXML;T088;EA;S.arenicola
T088-3-Me.mzXML;T088;Me;S.arenicola
T124-3-Bu.mzXML;T124;Bu;S.pacifica
T124-3-EA.mzXML;T124;EA;S.pacifica
T124-3-Me.mzXML;T124;Me;S.pacifica
T131-3-Bu.mzXML;T131;Bu;S.pacifica
T131-3-EA.mzXML;T131;EA;S.pacifica
T131-3-Me.mzXML;T131;Me;S.pacifica
T133-3-Bu.mzXML;T133;Bu;S.pacifica
T133-3-EA.mzXML;T133;EA;S.pacifica
T133-3-Me.mzXML;T133;Me;S.pacifica
T138-3-Bu.mzXML;T138;Bu;S.pacifica
T138-3-EA.mzXML;T138;EA;S.pacifica
T138-3-Me.mzXML;T138;Me;S.pacifica
T148-3-Bu.mzXML;T148;Bu;S.pacifica
T148-3-EA.mzXML;T148;EA;S.pacifica
T148-3-Me.mzXML;T148;Me;S.pacifica
T150-3-Bu.mzXML;T150;Bu;S.pacifica
T150-3-EA.mzXML;T150;EA;S.pacifica
T150-3-Me.mzXML;T150;Me;S.pacifica
T250-3-Bu.mzXML;T250;Bu;S.tropica
T250-3-EA.mzXML;T250;EA;S.tropica
T250-3-Me.mzXML;T250;Me;S.tropica
T261-3-Bu.mzXML;T261;Bu;S.tropica
T261-3-EA.mzXML;T261;EA;S.tropica
T261-3-Me.mzXML;T261;Me;S.tropica
T403-3-Bu.mzXML;T403;Bu;S.pacifica
T403-3-EA.mzXML;T403;EA;S.pacifica
T403-3-Me.mzXML;T403;Me;S.pacifica
T569-3-Bu.mzXML;T569;Bu;S.pacifica
T569-3-EA.mzXML;T569;EA;S.pacifica
T569-3-Me.mzXML;T569;Me;S.pacifica
T584-3-Bu.mzXML;T584;Bu;S.pacifica
T584-3-EA.mzXML;T584;EA;S.pacifica
T584-3-Me.mzXML;T584;Me;S.pacifica
T603-3-Bu.mzXML;T603;Bu;S.pacifica
T603-3-EA.mzXML;T603;EA;S.pacifica
T603-3-Me.mzXML;T603;Me;S.pacifica
T609-3-Bu.mzXML;T609;Bu;S.pacifica
T609-3-EA.mzXML;T609;EA;S.pacifica
T609-3-Me.mzXML;T609;Me;S.pacifica
T796-3-Bu.mzXML;T796;Bu;S.pacifica
T796-3-EA.mzXML;T796;EA;S.pacifica
T796-3-Me.mzXML;T796;Me;S.pacifica
T798-3-Bu.mzXML;T798;Bu;S.arenicola
T798-3-EA.mzXML;T798;EA;S.arenicola
T798-3-Me.mzXML;T798;Me;S.arenicola
T799-3-Bu.mzXML;T799;Bu;S.arenicola
T799-3-EA.mzXML;T799;EA;S.arenicola
T799-3-Me.mzXML;T799;Me;S.arenicola
T800-3-Bu.mzXML;T800;Bu;S.arenicola
T800-3-EA.mzXML;T800;EA;S.arenicola
T800-3-Me.mzXML;T800;Me;S.arenicola
T849-3-Bu.mzXML;T849;Bu;S.arenicola
T849-3-EA.mzXML;T849;EA;S.arenicola
T849-3-Me.mzXML;T849;Me;S.arenicola
T850-3-Bu.mzXML;T850;Bu;S.arenicola
T850-3-EA.mzXML;T850;EA;S.arenicola
T850-3-Me.mzXML;T850;Me;S.arenicola
T851-3-Bu.mzXML;T851;Bu;S.pacifica
T851-3-EA.mzXML;T851;EA;S.pacifica
T851-3-Me.mzXML;T851;Me;S.pacifica
T854-3-Bu.mzXML;;Bu;S.pacifica
T854-3-EA.mzXML;T854;EA;S.pacifica
T854-3-Me.mzXML;T854;Me;S.pacifica
T855-3-Bu.mzXML;T855;Bu;S.pacifica
T855-3-EA.mzXML;T855;EA;S.pacifica
T855-3-Me.mzXML;T855;Me;S.pacifica
T857-3-Bu.mzXML;T857;Bu;S.pacifica
T857-3-EA.mzXML;T857;EA;S.pacifica
T857-3-Me.mzXML;T857;Me;S.pacifica
T859-3-Bu.mzXML;T859;Bu;S.arenicola
T859-3-EA.mzXML;T859;EA;S.arenicola
T859-3-Me.mzXML;T859;Me;S.arenicola
X481-3-Bu.mzXML;X481;Bu;S.arenicola
X481-3-EA.mzXML;X481;EA;S.arenicola
X481-3-Me.mzXML;X481;Me;S.arenicola
X482-3-Bu.mzXML;X482;Bu;S.arenicola
X482-3-EA.mzXML;X482;EA;S.arenicola
X482-3-Me.mzXML;X482;Me;S.arenicola
X508-3-Bu.mzXML;X508;Bu;S.arenicola
X508-3-EA.mzXML;X508;EA;S.arenicola
X508-3-Me.mzXML;X508;Me;S.arenicola
X814-3-Bu.mzXML;X814;Bu;S.arenicola
X814-3-EA.mzXML;X814;EA;S.arenicola
X814-3-Me.mzXML;X814;Me;S.arenicola
X891-3-Bu.mzXML;X891;Bu;S.arenicola
X891-3-EA.mzXML;X891;EA;S.arenicola
X891-3-Me.mzXML;X891;Me;S.arenicola
Y011-3-Bu.mzXML;Y011;Bu;S.arenicola
Y011-3-EA.mzXML;Y011;EA;S.arenicola
Y011-3-Me.mzXML;Y011;Me;S.arenicola
Y012-3-Bu.mzXML;Y012;Bu;S.tropica
Y012-3-EA.mzXML;Y012;EA;S.tropica
Y012-3-Me.mzXML;Y012;Me;S.tropica
Y202-3-Bu.mzXML;Y202;Bu;S.pacifica
Y202-3-EA.mzXML;Y202;EA;S.pacifica
Y202-3-Me.mzXML;Y202;Me;S.pacifica
Y230-3-Bu.mzXML;Y230;Bu;S.arenicola
Y230-3-EA.mzXML;Y230;EA;S.arenicola
Y230-3-Me.mzXML;Y230;Me;S.arenicola
Y231-3-Bu.mzXML;Y231;Bu;S.arenicola
Y231-3-EA.mzXML;Y231;EA;S.arenicola
Y231-3-Me.mzXML;Y231;Me;S.arenicola
Y234-3-Bu.mzXML;Y234;Bu;S.arenicola
Y234-3-EA.mzXML;Y234;EA;S.arenicola
Y234-3-Me.mzXML;Y234;Me;S.arenicola
Y237-3-Bu.mzXML;Y237;Bu;S.arenicola
Y237-3-EA.mzXML;Y237;EA;S.arenicola
Y237-3-Me.mzXML;Y237;Me;S.arenicola
Y239-3-Bu.mzXML;Y239;Bu;S.pacifica
Y239-3-EA.mzXML;Y239;EA;S.pacifica
Y239-3-Me.mzXML;Y239;Me;S.pacifica
Y244-3-Bu.mzXML;Y244;Bu;S.arenicola
Y244-3-EA.mzXML;Y244;EA;S.arenicola
Y244-3-Me.mzXML;Y244;Me;S.arenicola
Y256-3-Bu.mzXML;Y256;Bu;S.arenicola
Y256-3-EA.mzXML;Y256;EA;S.arenicola
Y256-3-Me.mzXML;Y256;Me;S.arenicola
Y260-3-Bu.mzXML;Y260;Bu;S.arenicola
Y260-3-EA.mzXML;Y260;EA;S.arenicola
Y260-3-Me.mzXML;Y260;Me;S.arenicola
Y280-3-Bu.mzXML;Y280;Bu;S.arenicola
Y280-3-EA.mzXML;Y280;EA;S.arenicola
Y280-3-Me.mzXML;Y280;Me;S.arenicola
Y281-3-Bu.mzXML;Y281;Bu;S.arenicola
Y281-3-EA.mzXML;Y281;EA;S.arenicola
Y281-3-Me.mzXML;Y281;Me;S.arenicola
Y282-3-Bu.mzXML;Y282;Bu;S.arenicola
Y282-3-EA.mzXML;Y282;EA;S.arenicola
Y282-3-Me.mzXML;Y282;Me;S.arenicola
Y330-3-Bu.mzXML;Y330;Bu;S.pacifica
Y330-3-EA.mzXML;Y330;EA;S.pacifica
Y330-3-Me.mzXML;Y330;Me;S.pacifica
Y331-3-Bu.mzXML;Y331;Bu;S.pacifica
Y331-3-EA.mzXML;Y331;EA;S.pacifica
Y331-3-Me.mzXML;Y331;Me;S.pacifica
Y363-3-Bu.mzXML;Y363;Bu;S.pacifica
Y363-3-EA.mzXML;Y363;EA;S.pacifica
Y363-3-Me.mzXML;Y363;Me;S.pacifica
Y486-3-Bu.mzXML;Y486;Bu;S.arenicola
Y486-3-EA.mzXML;Y486;EA;S.arenicola
Y486-3-Me.mzXML;Y486;Me;S.arenicola
Y498-3-Bu.mzXML;Y498;Bu;S.pacifica
Y498-3-EA.mzXML;Y498;EA;S.pacifica
Y498-3-Me.mzXML;Y498;Me;S.pacifica
Y646-3-Bu.mzXML;Y646;Bu;S.pacifica
Y646-3-EA.mzXML;Y646;EA;S.pacifica
Y646-3-Me.mzXML;Y646;Me;S.pacifica
Y666-3-Bu.mzXML;Y666;Bu;S.pacifica
Y666-3-EA.mzXML;Y666;EA;S.pacifica
Y666-3-Me.mzXML;Y666;Me;S.pacifica
Y673-3-Bu.mzXML;Y673;Bu;S.pacifica
Y673-3-EA.mzXML;Y673;EA;S.pacifica
Y673-3-Me.mzXML;Y673;Me;S.pacifica
Y678-3-Bu.mzXML;Y678;Bu;S.tropica
Y678-3-EA.mzXML;Y678;EA;S.tropica
Y678-3-Me.mzXML;Y678;Me;S.tropica
Y679-3-Bu.mzXML;Y679;Bu;S.arenicola
Y679-3-EA.mzXML;Y679;EA;S.arenicola
Y679-3-Me.mzXML;Y679;Me;S.arenicola
Y681-3-Bu.mzXML;Y681;Bu;S.tropica
Y681-3-EA.mzXML;Y681;EA;S.tropica
Y681-3-Me.mzXML;Y681;Me;S.tropica
Y685-3-Bu.mzXML;Y685;Bu;S.arenicola
Y685-3-EA.mzXML;Y685;EA;S.arenicola
Y685-3-Me.mzXML;Y685;Me;S.arenicola
Y690-3-Bu.mzXML;Y690;Bu;S.arenicola
Y690-3-EA.mzXML;Y690;EA;S.arenicola
Y690-3-Me.mzXML;Y690;Me;S.arenicola
Y694-3-Bu.mzXML;Y694;Bu;S.arenicola
Y694-3-EA.mzXML;Y694;EA;S.arenicola
Y694-3-Me.mzXML;Y694;Me;S.arenicola
Y703-3-Bu.mzXML;Y703;Bu;S.pacifica
Y703-3-EA.mzXML;Y703;EA;S.pacifica
Y703-3-Me.mzXML;Y703;Me;S.pacifica
