"id","ATTRIBUTE"
"155436","B440|B440|B476|B536|H646|H905|H964|P105|P105|R699|S051|S416|S416|T603"
"155437","B476|B536"
"155440","H646|S197|Y012"
"155460","T849|Y281"
"155463","Y281"
"155470","R699|S197|Y202"
"155471","T138|Y202|Y202"
"155473",NA
"155474","T029"
"155481",NA
"155483","B440|H646|T250|T250|Y202"
"155485",NA
"155486","B440|H941|S243|T088|Y486|Y678"
"155494",NA
"155502","H996"
"155547","Y244|Y281"
"155570","S237"
"155579",NA
"155580",NA
"155593","H941"
"155594","H941"
"155595","H941"
"155596","H941"
"155599","T088|Y646"
"155601","T088"
"155602","T088"
"155656","S673|S744|T799|Y234|Y260|Y282"
"155672","R425|S205|S205"
"155674","Y234"
"155681","S205"
"155684","S205"
"155701","B440|H905|H941|H964|P105|Y260"
"155703","B458|T603"
"155705","B458|H941|P105"
"155749","Q768|S103|S416"
"155758","Q768|S055|S103|Y678"
"155761","S055|S055|T250"
"155766","S055|T250"
"155772","Q768|R894"
"155776","Q768|S103|T250"
"155797","S055|S863"
"155822","R107|R107"
"155823","R107|R107"
"155843","S296|Y363"
"155858","S296|Y363"
"155862","S296"
"156024",NA
"156045",NA
"156046",NA
"156047",NA
"156052",NA
"156053",NA
"156055",NA
"156064",NA
"156470","T029"
"156472","T029"
"156473","T029"
"156475","Y231|Y231"
"156485",NA
"156516",NA
"156520","Q748|Q748"
"156526","Q768|R510|Y678"
"156527","H962"
"157","T796|Y330"
"157166","S863"
"157185","S863"
"157190","S863"
"157195","S863"
"157216","S863"
"157242","H732|R510|R510"
"157244","H732|H732|R510|R510|R510"
"157245","H732|H732|R510"
"157255","H732|R510"
"157264","X482"
"157268","T800|X814|Y234"
"157277","Y234"
"157286","T150|Y666|Y703"
"157289","T854|Y666"
"157301",NA
"157306",NA
"157307",NA
"157314",NA
"157319",NA
"157366","S205|X508"
"157456","Q768"
"157464","Y685"
"157482",NA
"157721","R114|S143|Y281"
"157762","T850"
"158","B476|R921"
"158035","Y231|Y231|Y231"
"158037","Y231|Y231|Y231"
"158052","Y231"
"158359","H646|H964|Y012|Y330|Y678"
"158371","R921|S197|Y678"
"158629","T569|T569"
"158981","T569|T569"
"159048","S863"
"159050","S863"
"159058","S863"
"159087","S863"
"159092","S863"
"159094","S863"
"159145","B476|B536|H646|H941|P105|R699|R921|S051|S197|S205|S237|T138|T603|T849|Y231|Y678"
"159146",NA
"159147","B536|H646|H905|H905|H941|H941|H964|S051|S197|S197|T138|T148|T603|T603|T609|Y678|Y678"
"159149",NA
"159152",NA
