"Sample","Hmsq","Hcos","Ans","IQ"
"H718-3-Me.mzXML",0.236319289382235,0.360127978572427,0.272727272727273,0.710275153106022
"H721-3-Bu.mzXML",1,0.982986440474409,0.448979591836735,0.189344655896285
"H721-3-EA.mzXML",0.818194399533923,0.914818098981806,0.32183908045977,0.315049473674834
"H721-3-Me.mzXML",0.707340906627174,0.924980337106842,0.336134453781513,0.343848100828157
"H732-3-Bu.mzXML",0.648932839678613,0.832397514639538,0.304347826086957,0.404773939864964
"H732-3-EA.mzXML",0.751010265031837,0.816382527201888,0.4,0.344202402588758
"H732-3-Me.mzXML",0.684854569131918,0.904140071227161,0.419354838709677,0.330550173643748
"H877-3-Bu.mzXML",0.575405557442956,0.685186372038865,0.222222222222222,0.505728616098652
"H877-3-EA.mzXML",0.699231050892277,0.891201252887945,0.277777777777778,0.377263306147334
"H877-3-Me.mzXML",0.621180426464741,0.716978502747522,0.217391304347826,0.48148325547997
"H898-3-Bu.mzXML",0.915680404657582,0.666899839207193,0.275167785234899,0.380750656966775
"H898-3-EA.mzXML",0.855987706420091,0.69876436342995,0.292682926829268,0.38418833444023
"H898-3-Me.mzXML",0.83575145910679,0.981927236724907,0.252525252525253,0.30993201721435
"H905-3-Bu.mzXML",0.803283337985867,0.960346728166224,0.370860927152318,0.288503002231864
"H905-3-EA.mzXML",0.714287599990997,0.942299360912198,0.325925925925926,0.33916237105696
"H905-3-Me.mzXML",0.820492722284966,0.938040041758815,0.353591160220994,0.295958691911742
"H941-3-Bu.mzXML",0.814323319839984,0.890937943253169,0.333333333333333,0.320468467857838
"H941-3-EA.mzXML",0.783419262552221,0.954883212327785,0.349693251533742,0.304001424528751
"H941-3-Me.mzXML",0.739558888457593,0.925597827038288,0.364485981308411,0.323452434398569
"H962-3-Bu.mzXML",0.654512225780054,0.760694150488438,0.110526315789474,0.491422435980678
"H962-3-EA.mzXML",0.634627578434367,0.729901535140994,0.205479452054795,0.476663811456615
"H962-3-Me.mzXML",0.809592296374732,0.782261550997829,0.2,0.402715384209147
"H963-3-Bu.mzXML",0.637341953606458,0.717121751841988,0.090032154340836,0.518501380070239
"H963-3-EA.mzXML",0.713789063248281,0.863983149488692,0.077639751552795,0.448196011903411
"H963-3-Me.mzXML",0.721366281388867,0.783146300699009,0.110552763819095,0.461644884697676
